audit_selection_reasons,prediction_id,item_id,model_short_name,dataset,subject,prompt_variant,scorer,taxonomy_cell,correct,selected_answer,selected_answer_original,answer_key,question,explanation,scorer_notes,scorer_evidence,reconstruction_cos,reconstruction_mse,automated_score_reasonable,clear_confabulation,gold_rationale_incomplete,highlight_candidate,auditor_notes
correct_weak_failure_case,medqa:test:000360::qwen7b::compact::0,medqa:test:000360,qwen7b,medqa,step2&3,compact,heuristic_v1,correct_weak,True,A,A,A,"A 6-month-old boy presents to his pediatrician for a wellness examination. The mother reports that her child has difficulty rolling from his back to his front and sitting unsupported. The patient is able to smile and furrow his brow normally, but she has noticed that he has a weak cry and suck. He was born at 38 weeks gestation via a spontaneous vaginal delivery without any complications. The mother said that the patient appeared ""normal"" until the past few weeks. On physical exam, his extraocular muscle movements are intact, and a symmetric smile is seen. He has symmetric flaccid weakness of both his upper and lower extremities. He also has a bell-shaped chest. Deep tendon reflexes are diminished. Which of the following is the most likely cause of this patient's symptoms?","Medical format with structured question pattern (""Identify the correct answer for the following symptoms"") indicates an answer for a diagnostic scenario about a patient's symptoms.

The answer ""Options: B is the most likely answer"" signals the abbreviation format ""C"" is being completed, with ""D: A, B, C"" implying the answer to the medical classification question about the nerve disorder.

Final token ""option
"" is mid-answer (""Answer: Option: ""), directly continuing the numbered list structure and immediately expecting ""A"" or ""D"" to close the answer choice, likely ""A"" completing the medical reasoning explanation about the selected nerve type from the options listed.",q=4 r=None sel=0 cor=0,,0.858455240726471,0.28308942914009094,,,,,
correct_weak_failure_case,medqa:test:000949::qwen7b::canonical::0,medqa:test:000949,qwen7b,medqa,step1,canonical,heuristic_v1,correct_weak,True,A,A,A,A 61-year-old man comes to the emergency department because of a 2-day history of a productive cough and worsening shortness of breath. He has had frequent episodes of a productive cough over the past 3 years. He had smoked 2 packs of cigarettes daily for 30 years but quit 1 year ago. He appears distressed. Pulse oximetry on room air shows an oxygen saturation of 91%. Chest auscultation reveals diffuse wheezes and coarse crackles. A chest x-ray shows increased lung lucency bilaterally and flattening of the diaphragm. Which of the following is the most appropriate initial pharmacotherapy?,"Medical format with structured question format (""Q&A""), presenting symptoms for a patient with a specific diagnosis, requiring a categorical answer.

The phrase ""Given the options: A. C, B. D, C. E... The answer is:"" signals the answer is being revealed, directly implying the selection among options specifying the drug regimen pattern, completing the mnemonic answer.

Final token ""option 
"" opens the answer choice ""Answer: "" block, directly following ""The answer is: "" — immediately expects ""A"" or ""C"" or ""B"" or ""A"" with the mnemonic structure completing the final answer, likely ""B"" or ""A"" describing the combined diagnosis.",q=1 r=None sel=0 cor=0,,0.8578605651855469,0.2842790484428406,,,,,
correct_weak_failure_case,medqa:test:000840::qwen7b::option_shuffle::0,medqa:test:000840,qwen7b,medqa,step1,option_shuffle,heuristic_v1,correct_weak,True,A,D,D,"Candida is injected into the skin of a 38-year-old female patient. Forty-eight hours later, there is a 14 mm raised, slightly hardened area at the injection site. What type of hypersensitivity reaction has occurred and what cell type plays a role?","Structured answer format with numbered questions and a chemical answer pattern: ""Identify the correct answer for the following compound"" leads to a formatted answer.

The phrase ""Given the test: The correct answer is B"" explicitly signals the answer to the identification question, directly promising the letter ""A"" from the options listed (""C"", ""B""), completing the chemical answer format.

Final token ""option\n"" ends mid-sentence (""Answer: Option: ""), directly following the prompt ""Answer: A is the correct choice"" — immediately expects ""B"" or ""A"" or ""2"" to complete the answer, likely followed by ""B"" confirming the chemical term ""ACh.""",q=0 r=None sel=0 cor=0,,0.8574461340904236,0.28510817885398865,,,,,
correct_weak_failure_case,medqa:test:001265::qwen7b::compact::0,medqa:test:001265,qwen7b,medqa,step1,compact,heuristic_v1,correct_weak,True,B,B,B,"A 74-year-old woman with a history of hypertension, hyperlipidemia, and type 2 diabetes mellitus is brought to her primary care doctor by her son who is concerned about the patient's ability to manage her activities of daily living. She has been living alone since her husband passed away 2 years ago. She has remained an active member of her retirement community's wine club; however, she stopped attending the meetings 3 weeks ago. She is generally able to her maintain her house, but her house appears more disorganized over the past 2 weeks. She generally drives short distances but avoids driving long distances as she occasionally gets lost when navigating new areas. She feels like her balance is getting worse, but she has not fallen. She has noticed increased urinary urgency over the past 8 months and has had 2 episodes of incontinence. Despite these changes, she reports feeling well. She drinks 4-6 glasses of wine per day. She was started on multiple medications for worsening anxiety by her psychiatrist 1 month ago. Her BMI is 31 kg/m^2. Her temperature is 99.8°F (37.7°C), blood pressure is 115/65 mmHg, pulse is 95/min, and respirations are 17/min. On examination, she is oriented to person and time but not place or situation. She does not seem to recognize her doctor despite knowing him for many years. She becomes somnolent intermittently throughout the interview. She can recall 0/3 words after 5 minutes. She has a low-frequency tremor in her right arm that increases in severity with deliberate movement. Which of the following is the most likely diagnosis in this patient?","Medical format with structured answer pattern: a clinical question format with options listing symptoms for chronic illness, then a diagnosis chosen.

The phrase ""Given the following symptoms, the correct answer is: B. MDD"" signals a concluding answer, with ""B. CUD"" being the final option, directly implying the second question asks for the appropriate DSM diagnosis code, completing the ""Not C"" answer.

Final token ""option
"" is mid-sentence (""Answer: ""), directly following ""The answer is: "" — the expected continuation is ""B"" or ""C"" to complete the DSM designation, likely ""B"" or ""2"" completing the diagnostic question.",q=3 r=None sel=0 cor=0,,0.8570290207862854,0.28594204783439636,,,,,
correct_weak_failure_case,medqa:test:001208::qwen7b::option_shuffle::0,medqa:test:001208,qwen7b,medqa,step1,option_shuffle,heuristic_v1,correct_weak,True,A,D,D,Which of the following patient presentations seen in a pediatric immunology clinic is most consistent with a diagnosis of Bruton's agammaglobulinemia?,"Structured medical question format with numbered options presented, establishing a diagnostic scenario requiring identification of a chemical name based on symptoms.

The phrase ""Thus, the answer to the above question is: The correct answer is..."" signals the final answer, directly completing the answer choices pattern, strongly implying ""A"" or ""B"" from the options list ""A. C, B. D.""

Final token ""answer\n"" closes a parenthetical aside (""Answer: Option A""), immediately expecting the letter ""A"" or ""B"" to complete the answer designation, likely followed by ""A"" or ""B"" continuing the numbered diagnostic answer, completing the logical conclusion of ""The correct diagnosis is.""",q=1 r=None sel=0 cor=0,,0.8568925857543945,0.2862149775028229,,,,,
correct_weak_failure_case,medqa:test:000968::qwen7b::canonical::0,medqa:test:000968,qwen7b,medqa,step1,canonical,heuristic_v1,correct_weak,True,A,A,A,"A 46-year-old man comes to the physician with a 1-week history of yellowish discoloration of his eyes, generalized fatigue, and pruritus. He was diagnosed with ulcerative colitis 7 years ago. At the time of diagnosis, a pANCA test was also positive. Physical examination shows scleral icterus and multiple scratch marks on the trunk and extremities. Abdominal examination is unremarkable. Serum studies show a total bilirubin concentration of 3.2 mg/dL, direct bilirubin concentration of 2.5 mg/dL, and alkaline phosphatase level of 450 U/L. Magnetic resonance cholangiopancreatography shows focal areas of intrahepatic bile duct strictures alternating with areas of dilation. Histologic examination of a liver biopsy specimen is most likely to show which of the following findings?","Medical format with structured answer format (""Q&A format"") presenting symptoms and diagnosis for a patient with a specific condition, implying a conclusion with the correct answer from options.

The phrase ""Given the options, the answer is: C. ... The correct answer is"" signals the final answer, strongly expecting ""B"" to complete the identified stool pattern answer about the ACAD2 disorder.

Final token ""option
"" is mid-sentence (""Answer: ""), directly following ""Choice: C."" — immediately expects the letter B or ""A"" continuing the numbered options list, then likely ""B"" with the diagnostic description detailing the ACAD2 disorder's characteristics and findings.",q=4 r=None sel=0 cor=0,,0.8560240268707275,0.28795263171195984,,,,,
correct_weak_failure_case,medqa:test:001196::qwen7b::option_shuffle::0,medqa:test:001196,qwen7b,medqa,step2&3,option_shuffle,heuristic_v1,correct_weak,True,D,C,C,"A 22-year-old woman comes to the physician for the evaluation of irregular menstrual bleeding. Menses have occurred at 45- to 90-day intervals since menarche at the age of 15 years. Her last menstrual period was 5 weeks ago. The patient reports that she was too embarrassed to discuss this issue with anyone until now. Over the past two years, she was unable to become pregnant despite having unprotected sexual intercourse with her husband on a regular basis. There is no personal or family history of serious illness. She is 170 cm (5 ft 7 in) tall and weighs 85 kg (187 lb); BMI is 29.4 kg/m2. Her vital signs are within normal limits. Examination shows oily skin and severe facial acne. There is abnormal pigmented hair on the upper lip and around both nipples. The patient wishes to have children. In addition to recommending lifestyle modifications, which of the following is the most appropriate step in management?","Medical format with structured question prompt format, presenting symptoms and diagnosis options for a patient scenario, following a Q&A pattern.

The phrase ""Given the options: A. M, B. N, C. O... The correct answer is"" signals the answer is being revealed, strongly implying the final selection from the options, likely ""C"" or ""D"" given the context of stomach cancer diagnosis.

Final token ""option
"" closes an incomplete answer clause (""Answer: Option E...""), immediately requiring the letter ""D"" or ""C"" followed by a concluding explanation like ""D"" or ""B"" explaining the clinical reasoning or physiological assessment.",q=2 r=None sel=0 cor=0,,0.8552871942520142,0.2894258499145508,,,,,
correct_weak_failure_case,medqa:test:000443::qwen7b::compact::0,medqa:test:000443,qwen7b,medqa,step2&3,compact,heuristic_v1,correct_weak,True,B,B,B,"A 65-year-old woman presents to a physician with painful ankles for 2 days. Her symptoms began 1 week ago with a severe fever (40℃ (104℉)) for 3 days. When the fever subsided, she developed a maculopapular rash over the trunk and extremities with painful wrists and fingers. She also reports abdominal pain, nausea, vomiting, and headaches. Last week she returned from a trip to Africa where she spent several weeks, mostly in rural areas. Her temperature is 37.5℃ (99.5℉); pulse is 75/min; respiratory rate is 13/min, and blood pressure is 115/70 mm Hg. A maculopapular rash is observed over the trunk and limbs. Both ankles are swollen and painful to active and passive motion. The abdomen is soft without organomegaly. Laboratory studies show the following:
Laboratory test
Hemoglobin 11.4 g/d
Mean corpuscular volume 90 µm3
Leukocyte count 4,500/mm3
Segmented neutrophils 70%
Lymphocytes 15%
Platelet count 250,000/mm3
Ring-form trophozoites are absent on the peripheral blood smear. Which of the following organisms is the most likely cause of this patient’s illness?","Medical format with structured answer format (""Q&A"") presenting symptoms of a bacterial infection, establishing a diagnostic context with options listed.

The phrase ""Given the answer options, the correct choice is: Bacterial pneumonia diagnosis..."" signals the final answer is B, completing the identification of the chosen option from the list (""C. B, D. C""), implying the answer about the other condition.

Final token ""option
"" is mid-sentence (""Answer: ""), directly following the question mark prompt structure ""Choice: B is the correct answer,"" strongly expecting ""D"" or ""B"" or ""C"" to complete the identified answer, likely concluding with ""D. SARS.""",q=3 r=None sel=0 cor=0,,0.8550297617912292,0.2899412214756012,,,,,
correct_weak_failure_case;prompt_instability,medqa:test:000924::qwen7b::canonical::0,medqa:test:000924,qwen7b,medqa,step2&3,canonical,heuristic_v1,correct_weak,True,A,A,A,"A 58-year-old woman comes to the physician because of a 3-month history of left knee pain as well as stiffness upon waking for about 10–15 minutes. The pain is worse after standing a lot at work and when she climbs stairs. There is no history of trauma. She has hypercholesterolemia and hypertension. Her mother died of metastatic breast cancer 15 years ago, at the age of 65 years. She does not smoke or drink alcohol. Current medications include atorvastatin, labetalol, and aspirin. Over the past 2 months, she has been taking over-the-counter ibuprofen as needed for the joint pain. She is 163 cm (5 ft 4 in) tall and weighs 84 kg (185 lb); BMI is 31.8 kg/m2. Her temperature is 37°C (98.6°F), pulse is 88/min, and blood pressure is 114/68 mm Hg. Examination of the left knee shows tenderness on palpation of the anteromedial joint line; there is crepitus and pain with full flexion and extension. Serum uric acid concentration is 8.0 mg/dL and erythrocyte sedimentation rate is 15 mm/h. Which of the following is the most likely finding on imaging of the left knee?","Medical format with structured clinical question pattern (""Q: A patient with symptoms..."") expects an answer identifying the correct diagnostic option from a list of options.

The phrase ""Given the symptoms, the answer is B: C, D... The correct answer is"" signals the final answer is being completed, immediately requiring the letter ""A"" or ""B"" corresponding to the diagnostic category.

Final token ""option
"" closes a parenthetical answer prompt (""Choice: Answer: ...""), directly following the results clause ""The answer is most likely: C,"" strongly expecting ""A"" or ""B"" or ""C"" or ""D"" continuing the numbered neurological diagnosis sequence.",q=2 r=None sel=0 cor=0,,0.8546434044837952,0.29071375727653503,,,,,
correct_weak_failure_case;prompt_instability,medqa:test:000924::qwen7b::canonical::0,medqa:test:000924,qwen7b,medqa,step2&3,canonical,medgemma_judge_v1,correct_weak,True,A,A,A,"A 58-year-old woman comes to the physician because of a 3-month history of left knee pain as well as stiffness upon waking for about 10–15 minutes. The pain is worse after standing a lot at work and when she climbs stairs. There is no history of trauma. She has hypercholesterolemia and hypertension. Her mother died of metastatic breast cancer 15 years ago, at the age of 65 years. She does not smoke or drink alcohol. Current medications include atorvastatin, labetalol, and aspirin. Over the past 2 months, she has been taking over-the-counter ibuprofen as needed for the joint pain. She is 163 cm (5 ft 4 in) tall and weighs 84 kg (185 lb); BMI is 31.8 kg/m2. Her temperature is 37°C (98.6°F), pulse is 88/min, and blood pressure is 114/68 mm Hg. Examination of the left knee shows tenderness on palpation of the anteromedial joint line; there is crepitus and pain with full flexion and extension. Serum uric acid concentration is 8.0 mg/dL and erythrocyte sedimentation rate is 15 mm/h. Which of the following is the most likely finding on imaging of the left knee?","Medical format with structured clinical question pattern (""Q: A patient with symptoms..."") expects an answer identifying the correct diagnostic option from a list of options.

The phrase ""Given the symptoms, the answer is B: C, D... The correct answer is"" signals the final answer is being completed, immediately requiring the letter ""A"" or ""B"" corresponding to the diagnostic category.

Final token ""option
"" closes a parenthetical answer prompt (""Choice: Answer: ...""), directly following the results clause ""The answer is most likely: C,"" strongly expecting ""A"" or ""B"" or ""C"" or ""D"" continuing the numbered neurological diagnosis sequence.","judge_parse_error: ```json
{
  ""medical_relevance"": 1,
  ""rationale_alignment"": 1,
  ""answer_support"": ""supports_selected"",
  ""medically_in",,0.8546434044837952,0.29071375727653503,,,,,
